id,nome,cognome,nome_cognomeP1,nome_cognomeP2,id_conto_P1,id_conto_P2,tel,email,indirizzo,quote,professione,id_societa1,id_societa2,nome_societa,paese,citta,id_credito_banca,tipo_tessera,data_apertura,data_transazione,importo
1,Ardis,Fuzzens,Ardis Fuzzens,Cyrus Kiffin,3559358869021890,633303471187926311,(399) 7425158,tgiacubo0@bing.com,22773 Grayhawk Park,1.4,Professor,73658,33276,Voolith,DJ,Tadjoura,4041599865417,visa,19/12/1990,09/03/2044,"€78653,54"
2,Innis,Lofting,Innis Lofting,Bernadina Bushell,3549238301948327,6771140717017813650,(610) 9610374,rbatrop1@google.com,608 Prentice Road,10.4,Registered Nurse,09276,33327,Tagopia,TH,Nong Don,0604998538843579766,maestro,14/03/1995,14/11/2036,"€35617,68"
3,Berkley,Jugging,Berkley Jugging,Hurley Debill,4729831948135884,6331107062193610,(558) 8909773,lstraffon2@nbcnews.com,090 Sutherland Junction,35.7,Statistician III,66365,62705,Gigaclub,MM,Pyu,3547753922021579,jcb,25/11/1998,13/05/2041,"€98463,98"
4,Abbey,Chadderton,Abbey Chadderton,Liam Tetley,5641825051827285109,5602217658731048,(570) 3352046,obernet3@goo.ne.jp,89 Arizona Plaza,22.7,Civil Engineer,74341,63876,Brightdog,ID,Sumberrejo,5253797066255591,mastercard,19/06/1995,11/11/2010,"€14562,65"
5,Leone,Tilling,Leone Tilling,Leone Tilling,3574764998553797,3574764998553797,(195) 5401961,gdobrovolny4@home.pl,39 Loeprich Court,28.6,Programmer Analyst II,80911,80911,Voonte,DO,Salcedo,3541410188768098,jcb,18/01/1991,07/06/2014,"€60985,93"
6,Rab,Faulconer,Rab Faulconer,Harli Haggidon,4724318333227,5602240483376763,(381) 2895468,ssauvage5@amazon.com,7330 Dawn Drive,17.3,Statistician I,22131,19838,Skajo,GB,Newbiggin,5020387904286529,maestro,30/11/1990,26/10/2049,"€30437,33"
7,Danya,Cardoe,Danya Cardoe,Pietrek Brehaut,50204877909776254,6331109225401786005,(606) 2846383,kburniston6@wordpress.com,2 Blaine Way,31.6,Desktop Support Technician,83435,42304,Bluejam,US,London,3577394461811261,jcb,30/03/1990,21/12/2005,"€25173,17"
8,Gerhardt,Roskams,Gerhardt Roskams,Danya Cardoe,3579742871832012,50204877909776254,(151) 2151060,kstaves7@nps.gov,4 Maple Wood Plaza,20.2,Quality Engineer,78338,83435,Mynte,PT,Maganha,3571975560471456,jcb,04/05/1997,17/02/2037,"€62583,27"
9,Hurley,Debill,Hurley Debill,Dorita Banck,6331107062193610,633110335225238604,(608) 1522562,bzecchinelli8@senate.gov,18179 Dwight Place,18.0,Analyst Programmer,62705,42331,Lazzy,RU,Prokop’yevsk,5414091762425872,diners-club-us-ca,04/05/1993,07/08/2048,"€49630,17"
10,Bret,Van Schafflaer,Bret Van Schafflaer,Fredek Thirlwell,3555947371464517,4913796892685638,(700) 2848528,olatchford9@w3.org,85391 Mockingbird Alley,42.6,Dental Hygienist,02589,55129,Yambee,CO,Magangué,4903717558005731,switch,14/07/1996,07/03/2000,"€10592,39"
11,Brig,Pessel,Brig Pessel,Corrina Birtle,676264278424339794,3528560948078647,(380) 8674963,rflindalla@freewebs.com,93 Darwin Lane,30.8,Financial Analyst,55897,04281,Dabvine,ID,Satowebrang,4936718546040724,switch,18/07/1992,02/01/2015,"€46338,07"
12,Ruthann,Brader,Ruthann Brader,Innis Lofting,5100138594646487,3549238301948327,(947) 4801796,rpointerb@google.nl,75643 Annamark Way,46.1,Junior Executive,51207,09276,Digitube,RU,Chernoyerkovskaya,3551852641142618,jcb,16/03/1990,21/12/2030,"€46199,58"
13,Alissa,Armsby,Alissa Armsby,Leone Tilling,5602231731668754,3574764998553797,(675) 1991324,abakesefc@theguardian.com,467 Hollow Ridge Hill,40.7,Senior Editor,88772,80911,Brightdog,PE,Duraznopampa,201896124236496,diners-club-enroute,21/09/1990,24/11/2011,"€91839,62"
14,Dorie,Covington,Dorie Covington,Kippy Moncreiffe,3582125964395151,201815208593119,(921) 1114336,fgoodramd@vkontakte.ru,99393 Carey Road,37.8,VP Accounting,52566,04611,Browsetype,ID,Sukadana,3589828867860964,jcb,10/03/1994,08/01/2047,"€71591,73"
15,Cloris,Belliard,Cloris Belliard,Elwood Viel,4175009763158005,6706546543795961800,(706) 3775248,aespinele@friendfeed.com,143 Morning Park,13.2,Teacher,91355,30314,Gigabox,AL,Librazhd,501813279702740824,maestro,25/11/1997,22/12/2043,"€66413,98"
16,Kalvin,Gummoe,Kalvin Gummoe,Eliza O'Dooghaine,30254025948883,30352036132826,(867) 1366648,nmadlef@bizjournals.com,7 Cardinal Way,3.8,Graphic Designer,79697,11352,Dazzlesphere,BA,Ostrožac,201536072017320,diners-club-enroute,18/04/1993,15/06/2033,"€66665,38"
17,Gerhardt,Roskams,Gerhardt Roskams,Dorotea Menure,3579742871832012,3529058389461405,(244) 9785084,csteljesg@fastcompany.com,5836 Rutledge Park,22.1,Programmer Analyst III,78338,67340,Mynte,ID,Lahar,3551407095780718,jcb,07/03/1996,13/02/2031,"€22907,27"
18,Noell,Dutton,Noell Dutton,Pyotr Kyston,374283042606830,5893777534537654008,(635) 7900879,rcamillerih@jigsy.com,5 Mallory Place,33.9,Structural Engineer,34683,69684,Tagtune,PT,Madalena,374283663443117,americanexpress,02/01/1997,03/05/2027,"€67805,80"
19,Pietrek,Brehaut,Pietrek Brehaut,Fredek Thirlwell,6331109225401786005,4913796892685638,(516) 5459428,gjillisi@4shared.com,04175 Eagle Crest Park,35.2,Dental Hygienist,42304,55129,Topicblab,US,New Hyde Park,5602244813358178,bankcard,29/03/1992,03/09/2034,"€29568,90"
20,Johann,Roly,Johann Roly,Dominick Condon,3583052706273018,589320860036838854,(857) 8867869,aduroj@is.gd,45894 Aberg Circle,30.0,Tax Accountant,33673,34804,Brainbox,PT,Casa Nova,372301075671539,americanexpress,19/06/1990,27/11/2042,"€78523,41"
21,Kirbee,Battram,Kirbee Battram,Sibby Dearlove,3552724985902379,30097456404680,(805) 8556956,smayork@fda.gov,684 Manufacturers Road,29.5,Data Coordiator,21497,73016,Skivee,BR,Arapongas,3578837078877850,jcb,05/01/1997,16/06/2032,"€89761,51"
22,Pyotr,Kyston,Pyotr Kyston,Sibby Dearlove,5893777534537654008,30097456404680,(202) 1418132,rmiskl@networksolutions.com,7 Oak Valley Place,27.2,Structural Analysis Engineer,69684,73016,Browsetype,FR,Paris 02,3550114709566886,jcb,07/10/1992,28/09/2041,"€78302,41"
23,Mabel,Viggers,Mabel Viggers,Marissa Sackler,5602258766032770,3544737614355828,(981) 1179086,kragbornem@dmoz.org,74 Weeping Birch Circle,25.4,Junior Executive,14633,56468,Rhynyx,PT,Casa Nova,490353274368050065,switch,26/08/1991,01/09/2023,"€94875,42"
24,Bret,Van Schafflaer,Bret Van Schafflaer,Erna Bechley,3555947371464517,67098109037531275,(250) 7294403,mscoreyn@seesaa.net,662 Mccormick Lane,15.9,Systems Administrator III,02589,63697,Buzzdog,ID,Gabahan,3559491446552093,jcb,29/01/1991,11/09/2022,"€70444,05"
25,Marissa,Sackler,Marissa Sackler,Kalvin Gummoe,3544737614355828,30254025948883,(253) 1288024,hgriptono@abc.net.au,17149 Merchant Circle,12.8,Administrative Officer,56468,79697,Latz,ID,Baroh,3566851105083378,jcb,17/09/1991,07/03/2007,"€54399,01"
26,Kalvin,Gummoe,Kalvin Gummoe,Janice Beeck,30254025948883,3536348021871777,(768) 2917499,phagertyp@friendfeed.com,7837 Sycamore Park,44.2,Geologist II,79697,42437,Dazzlesphere,ZA,Lebowakgomo,5018275634229857,maestro,01/01/1995,24/10/2009,"€68904,59"
27,Emmye,Cockshutt,Emmye Cockshutt,Ranna Ferrant,4175003397482733,3540315827959704,(289) 1246016,fibbisonq@hexun.com,38 Thompson Circle,35.9,Desktop Support Technician,53774,60710,Riffpath,CO,Carmen de Viboral,379715661765194,americanexpress,28/09/1992,31/12/2011,"€75629,98"
28,Kathrine,Morillas,Kathrine Morillas,Thane Kopman,4026132191408015,5247211973609618,(461) 2559796,mbodellr@shinystat.com,15309 Katie Circle,24.2,Geological Engineer,94553,21965,Kimia,ID,Andamui,5602228809122573,china-unionpay,25/01/1993,28/06/2039,"€40032,20"
29,Janice,Beeck,Janice Beeck,Cyrus Kiffin,3536348021871777,633303471187926311,(498) 7639718,jbartalins@ow.ly,4 Mesta Crossing,18.1,Internal Auditor,42437,33276,Tanoodle,PH,Uacon,677191053525298454,laser,19/06/1995,17/08/2022,"€57572,17"
30,Katharyn,Linskill,Katharyn Linskill,Mabel Viggers,3553147138413780,5602258766032770,(966) 6724816,imixworthyt@ed.gov,942 Bobwhite Circle,31.3,Senior Developer,12057,14633,Skimia,PS,Sīrīs,3556777266375968,jcb,04/01/1996,15/07/2048,"€57854,40"
31,Dorie,Covington,Dorie Covington,Liam Tetley,3582125964395151,5602217658731048,(997) 7807348,vspanswicku@google.it,2 Bluejay Junction,30.9,Registered Nurse,52566,63876,Browsetype,SV,Conchagua,3550317143100101,jcb,12/11/1998,03/09/2049,"€67719,62"
32,Corrina,Birtle,Corrina Birtle,Emili Windebank,3528560948078647,3550873815788524,(496) 4387266,odinneenv@ft.com,033 Portage Crossing,24.3,VP Accounting,04281,92484,Thoughtblab,CA,Bécancour,5108757752204698,mastercard,03/05/1995,10/12/2014,"€43918,00"
33,Inge,Boxe,Inge Boxe,Elwood Viel,3588355529014617,6706546543795961800,(591) 5508619,scrassw@cdc.gov,0 Forest Run Circle,31.9,VP Sales,23896,30314,Zooveo,PE,La Unión,3530773915114040,jcb,08/10/1996,12/11/2048,"€45131,96"
34,Bevan,Fernyhough,Bevan Fernyhough,Ethelind Wybron,3572447427882290,5602216674784221,(505) 3315357,lthundersx@washington.edu,94 Carioca Plaza,2.6,Food Chemist,12886,93545,Oyoba,US,Albuquerque,3565316275836436,jcb,24/05/1990,10/11/2048,"€89758,66"
35,Reg,Kerswell,Reg Kerswell,Manon Rofe,560222280424003393,3550725101974418,(640) 9879347,lrothwelly@bing.com,6 Loftsgordon Junction,24.7,Software Engineer IV,12545,00612,Gigashots,CN,Beichan,6334820371171742240,solo,09/01/1998,21/09/2029,"€35941,72"
36,Joyan,Griffin,Joyan Griffin,Celinka Linnane,3544787124842328,374622855293972,(806) 7622077,hschiefersteinz@example.com,8270 Ridge Oak Circle,12.4,Civil Engineer,98168,81812,Devshare,ID,Cikananga,560221977683913011,china-unionpay,17/08/1990,30/09/2001,"€64460,09"
37,Corrina,Birtle,Corrina Birtle,Brig Pessel,3528560948078647,676264278424339794,(719) 9950588,htunnoch10@elpais.com,210 Golf Course Point,36.5,Financial Advisor,04281,55897,Thoughtblab,PH,Paldit,3587356179066593,jcb,29/01/1995,02/12/2033,"€92276,08"
38,Leone,Tilling,Leone Tilling,Les Rodders,3574764998553797,3547600677966740,(735) 3027751,wheadings11@sitemeter.com,9 Dixon Lane,37.3,Media Manager III,80911,54519,Voonte,CN,Shangrao,3565164230617933,jcb,17/09/1996,05/11/2021,"€37139,56"
39,Hurley,Debill,Hurley Debill,Dorotea Menure,6331107062193610,3529058389461405,(726) 5788594,nlerven12@theglobeandmail.com,1159 Express Circle,29.8,Statistician IV,62705,67340,Lazzy,TT,Tabaquite,58934830490569646,maestro,28/01/1993,15/01/2044,"€31229,16"
40,Hunter,Coldbath,Hunter Coldbath,Tessa De Lascy,3529623116687729,4405873188663168,(892) 3705409,hrottgers13@123-reg.co.uk,875 Delladonna Way,26.7,Operator,41737,40424,Gabtune,ID,Palaran,3577684131799544,jcb,06/01/1997,25/05/2024,"€73361,10"
